1,Whittni Orton,SR-4,BYU,05:12.5,19:25.4,1
2,Mercy Chelangat,JR-3,Alabama,05:13.6,19:29.3,2
3,Ceili McCabe,SO-2,West Virginia,05:13.7,19:29.5,3
4,Cailie Logue,SR-4,Iowa State,05:13.7,19:29.8,4
5,Taylor Roe,JR-3,Oklahoma State,05:14.7,19:33.5,5
6,Kelsey Chmiel,SO-2,NC State,05:15.0,19:34.6,6
7,Bethany Hasz,SR-4,Minnesota,05:15.5,19:36.4,7
8,Abby Nichols,SR-4,Colorado,05:15.8,19:37.6,8
9,Maddy Denner,SO-2,Notre Dame,05:15.9,19:37.7,9
10,Kayley DeLay,SR-4,Yale,05:15.9,19:37.7,
11,Olivia Markezich,SO-2,Notre Dame,05:15.9,19:38.0,10
12,Anna Camp,SR-4,BYU,05:16.3,19:39.3,11
13,Julia Heymach,SR-4,Stanford,05:17.0,19:41.9,12
14,Jenna Magness,SR-4,Michigan State,05:17.0,19:42.1,13
15,Katelyn Tuohy,FR-1,NC State,05:17.3,19:43.1,14
16,Joyce Kimeli,SR-4,Auburn,05:17.4,19:43.4,
17,Tori Herman,FR-1,Kentucky,05:17.7,19:44.4,
18,Emma Heckel,FR-1,New Mexico,05:17.8,19:45.0,15
19,Lauren Gregory,JR-3,Arkansas,05:18.1,19:46.1,16
20,Alison Pray,SR-4,Southern Utah,05:18.4,19:47.2,
21,Gracelyn Larkin,SO-2,New Mexico,05:18.6,19:47.9,17
22,Alexandra Hays,SR-4,NC State,05:18.7,19:48.2,18
23,Megan Hasz,SR-4,Minnesota,05:18.9,19:48.9,19
24,Hannah Steelman,SR-4,NC State,05:19.0,19:49.6,20
25,Allie Schadler,SR-4,Washington,05:19.1,19:49.8,21
26,Lauren Ryan,SR-4,Florida State,05:19.2,19:50.1,22
27,Parker Valby,FR-1,Florida,05:19.2,19:50.3,
28,Calli Doan,SR-4,Liberty,05:19.3,19:50.6,
29,Flomena Asekol,SO-2,Alabama,05:19.4,19:51.0,23
30,Maggie Donahue,SO-2,Georgetown,05:19.5,19:51.3,24
31,Emily Covert,FR-1,Colorado,05:19.6,19:51.8,25
32,Samantha Bush,SO-2,NC State,05:19.9,19:52.9,26
33,Sintayehu Vissa,SO-2,Ole Miss,05:20.0,19:53.2,27
34,Ruby Smee,SO-2,San Francisco,05:20.1,19:53.6,
35,Summer Allen,SR-4,Weber State,05:20.3,19:54.3,
36,Stefanie Parsons,SR-4,New Mexico,05:20.4,19:54.6,28
37,Isabel Van Camp,SO-2,Arkansas,05:20.4,19:54.7,29
38,Aubrey Frentheway,JR-3,BYU,05:20.7,19:55.7,30
39,Abby Kohut-Jackson,SR-4,Minnesota,05:21.0,19:56.8,31
40,Bethany Graham,FR-1,Furman,05:21.2,19:57.6,
41,Adva Cohen,SR-4,New Mexico,05:21.3,19:58.0,32
42,Taryn O'Neill,JR-3,Northern Arizona,05:21.4,19:58.2,33
43,Krissy Gear,SR-4,Arkansas,05:21.6,19:59.1,34
44,Sami Corman,JR-3,Georgetown,05:22.1,20:01.0,35
45,Grace Forbes,SO-2,Rice,05:22.3,20:01.8,36
46,McKenna Lee,SR-4,BYU,05:22.4,20:02.0,37
47,Abbe Goldstein,JR-3,New Mexico,05:22.6,20:02.7,38
48,Lynsie Gram,SR-4,Michigan State,05:22.7,20:03.2,39
49,Lucy Jenks,FR-1,Stanford,05:22.9,20:04.1,40
